lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.47583E+13,2022,Lindell-Hakanp,DAL,pairing,5on5,82,59505,183,0.5,0.47,0.47,445.65,40.86,30.06,109.27,15.29,243.92,178.6,39.73,41.69,40.53,456,162,248,866,42,42,5,76,12,212,234,414,576,62,133,488,443,111,151,442,132,44,13,16.14,11.71,17,18,7,890.78,618,633.03,74,6.23,8.78,9.02,38.07,38.94,38.56,508.72,40.57,32.07,127.15,16.89,278.51,207.81,39.33,40.27,39.04,499,204,265,968,38,38,3,87,10,246,284,461,665,59,125,396,491,110,143,539,127,37,14.74,15.92,9.9,18,15,5,951.96,703,695.36,74,6.62,7.24,7.24,39.94,39.74,39.09
8.48019E+13,2022,Guhle-Kovacevic,MTL,pairing,5on5,25,1705,200,0.76,0.66,0.65,18.14,2.57,1.44,3.81,0.59,8.93,6.67,2.29,2.46,2.21,23,1,7,31,0,3,0,7,0,4,10,23,24,1,2,5,13,3,5,12,8,4,0.3,1.08,1.18,0,0,0,29.92,24,23.25,3,0.31,0.98,0.98,1.9,1.86,1.84,9.47,0.81,0.57,2.27,0.31,4.92,4.11,0.81,0.86,0.86,9,4,3,16,2,0,0,3,0,1,7,7,11,2,4,10,13,0,10,10,2,1,0.25,0.36,0.21,0,2,0,16.98,13,13.51,9,0.12,0,0,0.93,0.98,0.98
8.47518E+13,2022,Leddy-Krug,STL,pairing,5on5,41,2153,400,0.39,0.38,0.42,15.9,1.23,1.06,3.44,0.53,8.76,6.98,1.21,1.29,1.26,15,7,6,28,3,3,2,3,1,2,10,12,19,0,0,6,9,6,4,17,5,0,0.71,0.52,0,2,1,0,28.23,22,22.44,1,0.22,0.38,0.16,1.29,1.33,1.32,22.86,1.94,1.52,5.47,0.76,12.21,9.09,1.92,1.9,1.88,13,18,15,46,1,3,0,5,1,10,11,12,30,4,8,3,10,7,2,23,6,2,0.8,0.64,0.5,0,0,1,45.27,31,30.39,1,0.31,0.21,0.21,2.05,2,1.98
8.48004E+20,2022,Necas-Kotkaniemi-Jarvis,CAR,line,5on5,11,1503,97,0.56,0.56,0.49,15.54,1.55,1.16,3.59,0.47,8.34,5.88,1.54,1.57,1.55,18,3,9,30,1,1,0,3,3,5,8,17,20,2,4,7,3,2,3,14,6,1,0.5,0.79,0.25,0,1,0,29.84,21,20.81,2,0.25,0.18,0.18,1.61,1.62,1.61,16,1.24,1.04,3.82,0.52,9.08,6.31,1.24,1.24,1.24,16,6,2,24,1,1,0,6,0,6,8,15,21,2,4,8,15,4,4,17,4,1,0.47,0.52,0.26,1,0,0,24.36,22,22.24,2,0.22,0.07,0.07,1.39,1.39,1.39
8.47635E+20,2022,Gaudreau-Jenner-Danforth,CBJ,line,5on5,3,894,21,0.39,0.46,0.5,7.51,0.6,0.46,1.53,0.22,4.12,3.06,0.6,0.58,0.58,7,3,1,11,1,0,0,3,0,1,5,6,9,2,4,12,4,2,0,7,3,0,0.31,0.3,0,0,1,0,10.43,10,9.67,0,0.1,0,0,0.7,0.68,0.67,7.37,0.96,0.52,1.57,0.24,3.84,2.87,0.91,1,0.95,6,4,3,13,0,1,0,1,0,4,4,6,10,3,6,3,3,1,2,5,3,2,0.12,0.33,0.51,0,0,0,13.8,10,10.48,1,0.11,0.26,0.26,0.81,0.84,0.82
8.47456E+13,2022,Anderson-Doughty,LAK,pairing,5on5,76,78733,91,0.52,0.53,0.53,635.43,57.62,42.27,152.75,20.67,344.49,255.19,55.23,58.16,55.75,633,240,290,1163,53,61,7,136,17,290,316,580,820,72,161,694,538,119,177,634,180,59,19.03,22.32,16.28,20,21,12,1177.67,873,885.44,120,8.8,12.25,12.25,54.16,54.61,53.42,559.89,52.24,38.12,134.65,18.58,306.04,224.38,49.25,51.98,49.05,542,232,273,1047,44,61,5,134,16,257,262,498,730,97,202,541,631,131,135,543,180,51,15.41,22.45,14.38,17,19,8,1039.38,774,768.84,94,7.92,11.99,11.99,48.16,48.19,47
8.48E+13,2022,Anderson-Durzi,LAK,pairing,5on5,29,2559,179,0.5,0.51,0.53,19.1,1.44,1.11,4.33,0.6,10.44,9.08,1.43,1.47,1.46,19,8,9,36,2,1,0,4,0,7,13,17,25,3,9,9,9,5,6,21,5,1,0.56,0.56,0.33,1,1,0,35.88,27,27.04,5,0.22,0.33,0.33,1.34,1.36,1.35,17.56,1.44,1.18,3.95,0.52,10.07,6.84,1.43,1.43,1.43,17,7,10,34,0,0,0,3,0,7,14,17,24,5,10,14,19,6,4,19,5,0,0.64,0.79,0,0,0,0,34.31,24,24.33,2,0.24,0,0,1.67,1.67,1.67
8.47939E+20,2022,Zetterlund-Sturm-Gregor,SJS,line,5on5,9,2286,49,0.32,0.36,0.35,17.22,1.4,1.06,4.79,0.61,8.66,6.48,1.37,1.42,1.38,22,1,10,33,2,2,1,3,0,7,9,20,21,0,0,29,17,5,4,20,1,2,0.72,0.13,0.56,0,0,2,32.17,23,22.3,2,0.22,0.41,0.41,1.21,1.21,1.19,31.71,3.04,2.1,8.18,1.01,17,11.67,2.83,3.1,2.89,27,16,15,58,3,5,1,5,2,15,13,24,40,1,2,28,8,8,6,29,11,3,0.7,1.51,0.84,1,1,1,58.5,43,43.67,2,0.43,1.22,1.22,2.25,2.27,2.2
8.47951E+20,2022,Pezzetta-Pitlick-Ylonen,MTL,line,5on5,2,703,8,0.33,0.3,0.29,3.96,0.55,0.37,0.84,0.16,2.28,1.79,0.54,0.57,0.55,6,0,2,8,1,1,1,0,0,3,1,5,5,2,4,3,6,1,4,3,3,0,0.13,0.42,0,0,1,0,7.78,6,6.1,4,0.08,0.17,0.17,0.46,0.46,0.45,10.58,1.11,0.85,2.64,0.34,6.08,3.98,1.09,1.08,1.06,9,6,4,19,1,1,0,2,0,4,7,8,14,1,2,8,8,1,2,9,5,1,0.25,0.64,0.23,0,1,0,18.96,15,14.56,2,0.17,0.04,0.04,1.24,1.21,1.19
8.47746E+20,2022,Rodrigues-Compher-Rantanen,COL,line,5on5,25,7253,186,0.51,0.47,0.5,70.24,6.82,4.92,15.34,2.24,40.55,29.11,6.46,7.02,6.65,75,24,21,120,4,5,0,18,7,31,34,71,95,10,20,63,35,12,12,72,19,8,2.48,2.33,2.01,3,1,0,125.78,99,102.74,8,1.01,1.25,1.25,6.59,6.77,6.69,72.01,6.47,4.82,17.53,2.34,38.91,28.93,6.12,6.2,5.87,75,24,35,134,5,8,1,17,0,41,28,70,94,4,8,62,48,23,11,73,18,8,1.84,2.35,2.28,2,2,1,126.71,99,94.42,6,1.01,1.71,1.71,5.77,5.51,5.36
8.47645E+13,2022,Harrington-Beaulieu,ANA,pairing,5on5,14,725,117,0.65,0.46,0.5,8.14,0.45,0.42,1.94,0.26,4.24,3.69,0.43,0.42,0.41,8,3,2,13,0,0,0,1,0,5,5,8,11,1,2,2,4,1,1,10,1,0,0.3,0.15,0,0,0,0,12.36,11,10.51,0,0.09,0,0,0.53,0.5,0.48,6.97,0.24,0.42,1.83,0.3,4.49,3.72,0.24,0.25,0.25,7,4,4,15,1,1,0,0,0,2,7,6,10,2,4,0,2,1,1,11,0,0,0.24,0,0,1,0,0,15.84,11,11.4,0,0.08,0.01,0.01,0.32,0.33,0.33
8.47355E+20,2022,Kessel-Stephenson-Stone,VGK,line,5on5,4,1195,17,0.47,0.54,0.6,12.2,0.63,0.78,2.75,0.37,7.85,5.62,0.62,0.62,0.61,13,5,4,22,1,0,0,2,0,10,5,12,17,0,0,14,5,6,5,17,1,0,0.51,0.12,0,0,1,0,21.32,18,17.33,2,0.16,0,0,0.79,0.77,0.76,7.95,0.72,0.59,1.86,0.28,5.1,3.45,0.71,0.73,0.71,9,3,7,19,4,0,0,0,1,2,5,5,8,2,4,9,5,1,3,8,4,0,0.3,0.42,0,1,3,0,19.63,12,12.33,3,0.12,0,0,0.84,0.85,0.83
8.47517E+20,2022,Ritchie-Kadri-Dube,CGY,line,5on5,7,3649,23,0.44,0.63,0.58,38.03,2.85,2.56,9.26,1.22,21.71,15.41,2.62,2.75,2.54,30,23,28,81,2,4,1,8,1,26,12,28,51,0,0,23,32,5,8,40,11,2,1.06,1.29,0.49,0,2,0,78.99,53,51.98,5,0.52,0.47,0.47,2.9,2.79,2.56,29.34,3.59,2.25,6.9,0.94,14.53,10.79,3.28,3.79,3.45,28,11,9,48,5,4,1,7,1,12,10,23,34,1,2,41,21,8,9,26,5,8,1.01,0.5,2.08,0,0,5,49.54,39,40.23,5,0.47,0.81,0.81,3.25,3.39,3.3
8.47579E+13,2022,Werenski-Gudbranson,CBJ,pairing,5on5,13,2195,83,0.42,0.38,0.41,20.37,1.9,1.47,5.24,0.74,10.23,8.42,1.89,1.99,1.98,23,5,7,35,4,1,0,6,0,6,11,19,24,1,2,19,11,5,3,20,5,3,0.56,0.72,0.62,0,4,0,35.4,28,28.48,0,0.31,0.21,0.21,1.99,2.1,2.1,29.01,2.67,2.02,7.31,1.03,16.3,10.67,2.42,2.74,2.48,28,12,16,56,2,6,2,6,2,15,9,26,38,2,4,19,11,7,5,32,5,3,0.97,0.7,1,1,1,0,55.92,40,40.56,2,0.42,1.36,1.36,1.73,1.73,1.68
8.47741E+20,2022,Janmark-Mcleod-Puljujarvi,EDM,line,5on5,6,642,99,0.42,0.44,0.5,5.69,0.53,0.38,1.48,0.21,3.1,2.3,0.52,0.58,0.57,5,3,0,8,0,0,0,1,0,2,5,5,8,0,0,4,5,1,5,5,2,1,0.12,0.19,0.23,0,0,0,8.58,8,8.5,4,0.08,0,0,0.61,0.66,0.65,5.54,0.74,0.32,1.56,0.25,3.04,2.09,0.72,0.74,0.73,7,1,2,10,1,2,0,1,0,1,3,6,7,0,0,10,5,3,2,7,0,1,0.32,0,0.42,1,0,0,9.79,8,7.83,1,0.07,0.45,0.45,0.36,0.36,0.36
8.48016E+13,2022,Thrun-Simek,SJS,pairing,5on5,6,3142,27,0.49,0.35,0.41,15.45,1.9,1.15,3.55,0.54,7.92,5.93,1.84,1.9,1.85,15,6,3,24,3,2,1,2,0,10,4,12,18,2,4,24,25,7,7,14,4,3,0.56,0.47,0.87,1,1,1,24.58,21,21.52,5,0.24,0.61,0.61,1.52,1.54,1.53,21.26,1.97,1.42,4.83,0.65,12.13,9,1.82,1.94,1.79,25,5,15,45,3,2,0,4,0,14,7,22,27,4,8,21,12,4,6,25,3,2,0.88,0.4,0.69,2,1,0,45.16,30,29.96,4,0.29,0.69,0.69,1.57,1.56,1.44
8.47579E+13,2022,Christiansen-Gudbranson,CBJ,pairing,5on5,15,6728,70,0.45,0.44,0.44,51.93,4.38,3.16,12.98,1.72,28.69,20.07,4.3,4.32,4.24,57,14,31,102,3,6,1,14,5,22,21,54,68,10,23,60,43,10,16,56,10,5,1.65,1.16,1.58,2,0,1,101,71,69.83,9,0.65,1.15,1.13,3.91,3.77,3.69,67.16,5.27,4.47,15.87,2.02,37.34,27.04,5.17,5.47,5.35,67,25,36,128,5,4,1,23,3,23,34,62,87,1,5,68,46,5,7,68,21,3,1.88,2.66,0.74,1,4,0,129.94,92,93.62,6,0.92,0.91,0.91,5.28,5.47,5.43
8.47516E+20,2022,Neighbours-O'Reilly-Schenn,STL,line,5on5,1,621,2,0.4,0.42,0.41,7.07,0.66,0.47,1.46,0.22,3.54,2.65,0.64,0.68,0.65,8,1,2,11,0,0,0,1,1,5,2,8,9,1,2,6,3,0,4,6,3,0,0.28,0.38,0,0,0,0,10.75,9,8.97,2,0.1,0,0,0.76,0.78,0.75,9.43,0.98,0.68,2.68,0.38,4.8,3.48,0.94,0.96,0.91,9,4,2,15,2,2,1,1,0,3,5,7,11,0,0,6,9,1,3,8,4,1,0.25,0.45,0.28,1,0,1,15.17,13,13,3,0.14,0.46,0.46,0.67,0.65,0.64
8.47843E+20,2022,Jarvis-Aho-Puljujarvi,CAR,line,5on5,6,2148,38,0.63,0.59,0.62,28.41,2.45,1.74,6.72,0.91,14.52,11.66,2.4,2.42,2.37,22,16,9,47,0,2,0,2,0,22,12,22,38,2,4,13,12,9,6,25,12,1,0.85,1.36,0.24,0,0,0,44.79,38,36.72,3,0.37,0.12,0.12,2.7,2.67,2.62,16.77,1.41,1.21,3.38,0.52,9.29,7.19,1.4,1.43,1.42,19,4,10,33,1,0,0,4,1,8,9,18,22,3,6,14,13,8,8,15,8,0,0.45,0.96,0,1,0,0,34.32,23,23.51,5,0.25,0,0,1.66,1.68,1.67
